,ID,Latitude,Longitude,PLANTED,HARVESTED
1,67971,35.24639015,-87.09308624,4/25/17,9/30/17
2,68550,41.57485625,-84.76854607,6/2/17,11/29/17
3,68110,40.21565235,-84.03124809,4/19/17,10/10/17
4,71395,42.58272543,-96.57869694,5/13/17,11/6/17
5,68447,37.27671645,-95.53792477,4/10/17,9/5/17
6,68284,35.81217548,-90.46151161,5/9/17,10/2/17
7,68695,40.949793,-83.07342052,4/24/17,11/4/17
8,67997,39.04937142,-93.19392762,4/19/17,9/30/17
9,68178,42.49486571,-89.6784038,5/5/17,10/10/17
10,57890,39.67522015,-94.7042942,4/11/17,9/11/17
11,70409,37.19526642,-88.05334478,4/5/17,10/16/17
12,70708,38.67971416,-93.95636559,5/10/17,10/20/17
13,71559,39.72980689,-82.38919973,5/15/17,11/14/17
14,70452,36.97,-88.82,5/9/17,10/5/17
15,68546,41.3835027,-84.67982875,6/1/17,11/10/17
16,68681,39.24656225,-93.51270676,5/10/17,10/3/17
17,70445,37.99575684,-94.39624786,5/10/17,9/23/17
18,70477,37.99372763,-94.42714691,5/13/17,9/27/17
19,68176,37.07,-86.48,5/3/17,10/6/17
20,68019,36.70106184,-87.53492117,4/8/17,9/13/17
21,68372,41.25384448,-84.20201748,5/18/17,11/14/17
22,67988,39.18813016,-93.74417943,4/13/17,9/13/17
23,69419,36.75882835,-85.32986641,4/25/17,10/31/17
24,69423,38.57172309,-84.40950394,4/25/17,10/20/17
25,68044,39.37299015,-92.0044899,4/24/17,9/20/17
26,57896,37.69135974,-87.06810951,4/13/17,9/7/17
27,68000,39.11796063,-93.39616509,4/19/17,9/26/17
28,68583,39.66623516,-83.65917206,6/1/17,10/1/17
29,70439,39.31318808,-92.62881241,4/18/17,9/19/17
30,70446,38.10795231,-94.24132347,4/13/17,9/21/17
31,70447,38.21876193,-94.33084488,4/13/17,9/23/17
32,68693,40.77629241,-83.0155921,5/15/17,10/23/17
33,70719,41.50246672,-83.78128701,5/16/17,10/17/17
34,68085,38.86590949,-92.83447266,4/18/17,9/27/17
35,68084,38.76927572,-92.86022186,4/18/17,9/27/17
36,68090,38.75174054,-92.86039352,4/18/17,9/27/17
37,71215,39.35,-92.03,4/10/17,9/27/17
38,57904,39.06031003,-93.07646559,4/13/17,10/30/17
39,57937,37.31130101,-89.691149,4/14/17,9/15/17
40,68236,37.73562982,-87.54949093,5/9/17,10/6/17
41,57895,37.70789621,-87.69742012,4/12/17,9/25/17
42,68490,43.84439341,-92.10087776,5/8/17,11/14/17
43,70474,37.52824272,-94.33505058,3/18/17,9/5/17
44,68756,41.12158614,-84.69437599,5/16/17,11/1/17
45,67999,39.11674295,-93.23903561,4/14/17,9/25/17
46,68170,40.92447337,-83.97665977,4/26/17,10/19/17
47,71468,41.60299063,-84.26755503,5/15/17,11/10/17
48,68042,39.40960571,-92.89058447,4/17/17,10/9/17
49,68331,41.63541935,-83.8951674,5/17/17,10/18/17
50,67970,35.28962787,-87.32774734,4/11/17,9/19/17
51,68763,40.69676215,-83.11700106,4/25/17,10/26/17
52,57892,36.69880102,-87.26505793,4/11/17,9/11/17
53,67969,35.73358909,-87.03051567,4/17/17,9/17/17
54,71469,39.76619331,-84.68225241,5/17/17,11/11/17
55,68112,39.8554651,-84.65137482,4/26/17,10/11/17
56,68283,36.21457098,-89.39455032,4/10/17,9/7/17
57,70415,38.22481375,-90.32611558,4/12/17,9/7/17
58,68077,38.62355336,-91.1203842,4/18/17,9/26/17
59,71283,42.81643831,-90.51685032,5/31/17,11/3/17
60,70656,36.82,-88.88,5/22/17,10/7/17
61,57893,38.67594756,-92.30290813,4/12/17,9/6/17
62,57938,36.8417132,-89.32118654,4/6/17,9/14/17
63,68159,36.9999581,-88.36189012,5/3/17,10/5/17
64,57933,37.08164683,-89.75954533,4/12/17,9/20/17
65,68304,36.69651503,-86.64834471,5/18/17,10/5/17
66,68515,39.45886043,-83.76491547,5/18/17,10/31/17
67,70709,37.4715884,-94.48328018,6/4/17,10/20/17
68,68694,40.67977558,-83.60871434,4/25/17,11/24/17
69,68071,39.43241438,-83.56278419,4/25/17,10/31/17
70,68168,41.08931407,-84.6172142,4/21/17,10/17/17
71,70671,39.27368688,-91.62457947,5/5/17,10/3/17
72,67992,39.1993532,-93.31153968,4/14/17,10/3/17
73,68229,37.12546399,-88.95141029,5/11/17,10/27/17
74,70486,39.30180387,-93.21891276,4/16/17,9/29/17
75,68179,42.68284983,-90.30007604,5/6/17,10/20/17
76,68772,34.98957388,-90.12908936,4/10/17,9/8/17
77,68555,41.6139437,-84.71043095,6/2/17,10/21/17
78,68416,42.49431695,-89.67810255,5/13/17,10/10/17
79,68774,35.00222737,-89.62954679,4/19/17,10/13/17
80,68556,41.38357829,-84.68923399,6/3/17,10/20/17
81,68686,39.24548211,-93.51330757,6/2/17,11/4/17
82,70478,36.94028822,-85.29613495,5/10/17,10/17/17
83,70681,37.98736908,-94.44045067,5/29/17,10/13/17
84,70682,37.9896014,-94.44027901,5/29/17,10/13/17
85,70683,37.99048078,-94.44062233,5/29/17,10/13/17
86,70711,38.00759279,-94.39023972,6/12/17,10/21/17
87,68427,37.16658407,-86.52589085,5/19/17,10/20/17
88,68560,41.24044661,-84.2088753,6/6/17,10/21/17
89,68578,37.90770518,-89.89236832,5/15/17,10/20/17
90,68680,37.56928637,-89.62010922,6/2/17,10/18/17
91,68777,35.6648948,-89.35045757,5/23/17,10/6/17
92,68582,38.97248886,-83.72551918,6/1/17,10/1/17
93,68752,39.1956805,-93.42372877,5/10/17,10/14/17
94,68677,36.30077313,-90.02334595,5/23/17,10/3/17
95,68569,37.72616015,-86.95635796,6/9/17,10/19/17
96,68561,41.48705571,-84.12086152,5/31/17,10/20/17
97,68525,41.1216508,-84.69901085,6/9/17,10/20/17
98,71029,40.39187798,-83.09380531,6/8/17,10/17/17
99,71433,42.87548343,-90.36073453,5/26/17,11/8/17
100,68776,35.60266059,-89.0314249,5/17/17,10/3/17
101,68516,39.85658521,-84.65291977,6/9/17,10/20/17
102,68557,41.61305082,-84.23044026,5/31/17,10/9/17
103,68572,35.28679044,-87.35946178,6/2/17,11/20/17
104,68440,42.72500864,-88.89601188,6/1/17,10/18/17
105,68301,38.41264313,-93.7556076,5/16/17,10/30/17
106,68325,40.37796881,-84.72634792,5/16/17,10/2/17
107,68762,40.67533297,-83.61157894,6/3/17,10/20/17
108,68522,41.09047847,-84.57283974,6/2/17,10/18/17
109,68559,41.37175026,-83.99699414,5/31/17,10/5/17
110,71176,39.21399858,-91.24852942,5/28/17,10/31/17
111,71175,39.10408918,-91.0622406,6/28/17,10/31/17
112,68634,38.23206193,-90.31886101,10/14/16,6/14/17
113,68018,36.67626687,-87.55356789,11/15/16,6/1/17
114,68666,38.5600459,-92.758255,11/11/16,6/27/17
115,68538,35.75993739,-88.63343897,10/12/16,6/12/17
116,57886,38.78620446,-92.73113251,10/19/16,6/15/17
117,67973,35.31680605,-86.98099136,11/3/16,6/12/17
118,57887,39.09916026,-91.08558655,11/2/16,6/13/17
119,68146,,,4/23/17,9/30/17
120,70416,,,4/14/17,9/7/17
121,67987,,,4/13/17,9/7/17
122,57902,,,4/13/17,9/27/17
123,70487,,,4/20/17,9/20/17
124,70425,,,3/23/17,9/12/17
125,68779,,,5/10/17,9/2/17
126,71028,,,5/16/17,10/29/17
127,70689,,,5/17/17,10/17/17
128,70686,,,5/17/17,10/13/17
129,68524,,,6/2/17,10/18/17